Original Name,Standardized Name
"GO, BONG GO",Bong Go
"AQUINO, BAM",Bam Aquino
"DELA ROSA, BATO",Bato dela Rosa
"TULFO, ERWIN",Erwin Tulfo
"PANGILINAN, KIKO",Francis Kiko Pangilinan
"MARCOLETA, RODANTE",Rodante Marcoleta
"LACSON, PING",Ping Lacson
"SOTTO, TITO",Tito Sotto
"CAYETANO, PIA",Pia Cayetano
"VILLAR, CAMILLE",Camille Villar
"LAPID, LITO",Lito Lapid
"MARCOS, IMEE R.",Imee R. Marcos
"TULFO, BEN BITAG",Ben Tulfo
"BONG REVILLA, RAMON, JR.",Ramon Bong Revilla Jr.
"BINAY, ABBY",Abby Binay
"ABALOS, BENHUR",Benhur Abalos
"BONDOC, JIMMY",Jimmy Bondoc
"PACQUIAO, MANNY PACMAN",Manny Pacquiao
"SALVADOR, PHILLIP IPE",Phillip Salvador
"BOSITA, COLONEL",Bonifacio Bosita
"MENDOZA, HEIDI",Heidi Mendoza
"REVILLAME, WILLIE WIL",Willie Revillame
"RODRIGUEZ, ATTY. VIC",Vic Rodriguez
"LAMBINO, RAUL",Raul Lambino
"TOLENTINO, FRANCIS TOL",Francis Tolentino
Bong Go,Bong Go
Erwin Tulfo,Erwin Tulfo
Tito Sotto,Tito Sotto
Bato dela Rosa,Bato dela Rosa
Ben Tulfo,Ben Tulfo
Pia Cayetano,Pia Cayetano
Ramon Bong Revilla,Ramon Bong Revilla
Abby Binay,Abby Binay
Lito Lapid,Lito Lapid
Panfilo Lacson,Ping Lacson
Camille Villar,Camille Villar
Bam Aquino,Bam Aquino
Willie Revillame,Willie Revillame
Manny Pacquiao,Manny Pacquiao
Imee Marcos,Imee Marcos
Benhur Abalos,Benhur Abalos
Rodante Marcoleta,Rodante Marcoleta
Kiko Pangilinan,Francis Kiko Pangilinan
Phillip Salvador,Phillip Salvador
Francis Tolentino,Francis Tolentino
Gregorio Honasan,Gregorio Honasan
Jimmy Bondoc,Jimmy Bondoc
Raul Lambino,Raul Lambino
Jesus Hinlo Jr.,Jesus Hinlo Jr.
Bonifacio Bosita,Bonifacio Bosita
Vic Rodriguez,Vic Rodriguez
Apollo Quiboloy,Apollo Quiboloy
Ariel Querubin,Ariel Querubin
Richard Mata,Richard Mata
Marc Gamboa,Marc Gamboa
Heidi Mendoza,Heidi Mendoza
Arnel Escobal,Arnel Escobal
Norberto Gonzales,Norberto Gonzales
Nur-Ana Sahidulla,Nur-Ana Sahidulla
Teddy Casiño,Teddy Casiño
Leody de Guzman,Leody De Guzman
Luke Espiritu,Luke Espiritu
Ernesto Arellano,Ernesto Arellano
France Castro,France Castro
Ronnel Arambulo,Ronnel Arambulo
Arlene Brosas,Arlene Brosas
Jerome Adonis,Jerome Adonis
Allen Capuyan,Allen Capuyan
Sonny Matula,Sonny Matula
Danilo Ramos,Danilo Ramos
Eric Martinez,Eric Martinez
Roberto Ballon,Roberto Ballon
Angelo de Alban,Angelo De Alban
Mimi Doringo,Mimi Doringo
Mody Floranda,Mody Floranda
Norman Marquez,Norman Marquez
Michael Tapado,Michael Tapado
Wilson Amad,Wilson Amad
Jocelyn Andamo,Jocelyn Andamo
Roy Cabonegro,Roy Cabonegro
David D'Angelo,David D'Angelo
Relly Jose Jr.,Relly Jose Jr.
Amirah Lidasan,Amirah Lidasan
Liza Maza,Liza Maza
Jose Montemayor Jr.,Jose Montemayor Jr.
Subair Mustapha,Subair Mustapha
Jose Jessie Olivar,Jose Jessie Olivar
Mar Valbuena Jr.,Mar Valbuena Jr.
Leandro Verceles Jr.,Leandro Verceles Jr.
