Candidate,Party,"Mar 31–Apr 7, 2025  WR Numero","Apr 7–12, 2025  Arkipelago Analytics","Apr 10–16, 2025  OCTA","Apr 11–15, 2025  SWS","Apr 11–15, 2025  The Center","Apr 12–14, 2025  DZRH","Apr 20–24, 2025  OCTA","Apr 20–24, 2025  Pulse Asia","Apr 23–30, 2025  WR Numero","Apr 26–May 1, 2025  Arkipelago Analytics","Apr 28–May 3, 2025  The Center","May 1, 2025  Publicus Asia","May 2–6, 2025  SWS",Standardized Name
Bong Go,DuterTen (PDP),41.9,64.0,64.2,45.0,57.0,63.2,56.8,62.2,45.3,63.0,59.0,42,43.0,Bong Go
Erwin Tulfo,ABP (Lakas),43.4,55.0,61.2,43.0,44.0,50.4,52.7,42.4,48.7,55.0,47.6,28,45.0,Erwin Tulfo
Tito Sotto,ABP (NPC),29.8,44.0,43.3,33.0,54.3,41.8,42.3,41.1,37.0,42.0,54.0,28,37.0,Tito Sotto
Bato dela Rosa,DuterTen (PDP),38.7,49.0,40.4,32.0,46.0,50.7,40.8,41.0,36.8,47.0,49.3,32,31.0,Bato dela Rosa
Ben Tulfo,Independent,32.1,42.0,45.4,31.0,39.0,40.1,40.2,33.5,35.2,42.0,39.0,23,34.0,Ben Tulfo
Pia Cayetano,ABP (NP),34.7,43.0,39.5,33.0,44.5,36.3,39.1,29.9,36.6,41.0,45.7,28,30.0,Pia Cayetano
Ramon Bong Revilla,ABP (Lakas),27.4,40.5,38.7,31.0,25.0,34.3,38.1,35.6,29.5,39.0,27.0,11,29.0,Ramon Bong Revilla
Abby Binay,ABP (NPC),31.8,37.0,35.7,29.0,40.7,33.9,37.6,30.2,31.7,32.0,43.0,18,31.0,Abby Binay
Lito Lapid,ABP (NPC),34.1,41.0,36.9,34.0,32.0,38.9,35.6,32.2,34.8,38.7,30.0,14,34.0,Lito Lapid
Panfilo Lacson,ABP (ind),34.1,38.0,39.7,26.0,36.0,42.9,34.3,33.8,33.8,32.0,38.0,32,32.0,Ping Lacson
Camille Villar,ABP (NP),26.7,38.5,30.4,28.0,37.9,39.5,31.9,28.3,29.8,40.5,40.0,17,30.0,Camille Villar
Bam Aquino,KiBam (KANP),26.4,30.5,32.3,21.0,20.0,31.1,31.4,25.4,28.5,33.5,20.7,41,23.0,Bam Aquino
Willie Revillame,Independent,19.2,39.0,29.0,24.0,27.0,25.7,30.4,28.6,22.6,38.0,33.5,14,24.0,Willie Revillame
Manny Pacquiao,ABP (PFP),24.2,35.0,30.3,25.0,23.0,30.2,29.1,28.3,26.1,32.0,23.4,22,24.0,Manny Pacquiao
Imee Marcos,Nacionalista,19.5,33.0,27.9,24.0,35.8,31.7,28.9,24.7,26.4,33.0,39.9,23,29.0,Imee Marcos
Benhur Abalos,ABP (PFP),18.2,22.0,28.8,18.0,23.0,25.8,28.5,22.9,20.7,21.0,23.0,15,24.0,Benhur Abalos
Rodante Marcoleta,DuterTen (Independent),17.7,32.7,19.3,13.0,30.5,30.0,27.8,23.0,20.4,34.0,35.0,23,17.0,Rodante Marcoleta
Kiko Pangilinan,KiBam (LP),25.2,29.0,30.3,21.0,16.0,26.1,26.3,19.8,24.5,29.0,17.0,36,21.0,Francis Kiko Pangilinan
Phillip Salvador,DuterTen (PDP),20.4,31.0,24.4,18.0,22.0,27.9,25.3,23.7,17.2,32.0,23.0,14,16.0,Phillip Salvador
Francis Tolentino,ABP (PFP),9.7,21.0,27.7,12.0,37.5,18.7,25.2,15.7,14.2,20.5,42.7,21,15.0,Francis Tolentino
Gregorio Honasan,Reform PH,15.2,27.0,14.8,13.0,29.6,19.8,21.2,12.9,16.1,27.0,34.0,15,14.0,Gregorio Honasan
Jimmy Bondoc,DuterTen (PDP),15.1,30.0,13.2,9.0,21.0,23.9,19.7,16.6,14.7,29.0,31.0,17,11.0,Jimmy Bondoc
Raul Lambino,DuterTen (PDP),9.0,20.0,10.0,8.0,12.0,20.0,14.8,13.4,,20.0,15.0,10,8.0,Raul Lambino
Jesus Hinlo Jr.,DuterTen (PDP),8.7,16.0,8.3,6.0,9.0,15.4,14.0,11.8,,16.0,12.0,10,6.0,Jesus Hinlo Jr.
Bonifacio Bosita,Independent,15.5,17.0,11.5,11.0,19.0,18.5,11.7,14.3,15.8,17.0,20.0,11,16.0,Bonifacio Bosita
Vic Rodriguez,DuterTen (Independent),12.8,20.0,12.5,7.0,17.0,15.0,10.7,11.5,,20.0,18.0,17,8.0,Vic Rodriguez
Apollo Quiboloy,DuterTen (Independent),11.0,,8.2,6.0,12.0,13.9,7.9,10.3,,10.5,15.0,8,8.0,Apollo Quiboloy
Ariel Querubin,Nacionalista,7.2,,3.6,5.0,12.0,7.7,5.5,4.4,,,13.0,8,5.0,Ariel Querubin
Richard Mata,DuterTen (Independent),5.1,16.5,4.2,3.0,14.0,6.6,4.4,5.9,,16.5,15.0,10,4.0,Richard Mata
Marc Gamboa,Independent,1.9,,,2.0,,1.9,4.0,0.7,,,,2,1.0,Marc Gamboa
Heidi Mendoza,Independent,5.3,,9.2,6.0,18.0,5.9,2.8,4.1,,,20.0,20,4.0,Heidi Mendoza
Arnel Escobal,Maharlika,1.8,,,2.0,,1.6,2.3,0.7,,,,1,2.0,Arnel Escobal
Norberto Gonzales,PDSP,3.4,,,2.0,,2.6,2.2,1.0,,,,4,2.0,Norberto Gonzales
Nur-Ana Sahidulla,Independent,0.6,11.0,,1.0,,1.7,1.8,1.7,,11.0,,2,1.0,Nur-Ana Sahidulla
Teddy Casiño,Makabayan,3.6,,3.3,3.0,7.0,4.4,1.7,1.5,,,9.0,11,3.0,Teddy Casiño
Leody de Guzman,PLM,4.2,,3.3,3.0,6.0,4.0,1.6,1.9,,,7.0,12,3.0,Leody De Guzman
Luke Espiritu,PLM,4.4,,3.8,3.0,9.0,5.2,1.4,3.1,,,10.0,15,3.0,Luke Espiritu
Ernesto Arellano,Katipunan,2.4,,1.0,3.0,,2.5,1.3,1.0,,,,3,2.0,Ernesto Arellano
France Castro,Makabayan,3.8,,3.2,4.0,7.0,3.4,1.0,2.4,,,8.0,9,3.0,France Castro
Ronnel Arambulo,Makabayan,2.5,,,2.0,,1.6,0.7,0.5,,,,5,2.0,Ronnel Arambulo
Arlene Brosas,Makabayan,1.6,,1.1,2.0,,2.4,0.7,0.8,,,,6,2.0,Arlene Brosas
Jerome Adonis,Makabayan,1.3,,,2.0,,1.5,0.7,0.4,,,,2,1.0,Jerome Adonis
Allen Capuyan,PPP,1.3,,,1.0,,1.4,0.6,1.5,,,,2,2.0,Allen Capuyan
Sonny Matula,WPP,1.7,,1.1,2.0,,2.5,0.6,0.5,,,12.0,7,2.0,Sonny Matula
Danilo Ramos,Makabayan,3.5,,1.3,2.0,,2.7,0.6,1.1,,,,6,2.0,Danilo Ramos
Eric Martinez,Independent,2.6,,1.2,3.0,,1.4,,0.9,,5.0,,3,3.0,Eric Martinez
Roberto Ballon,Independent,0.9,,,2.0,,1.2,,0.2,,,,3,2.0,Roberto Ballon
Angelo de Alban,Independent,1.9,,,2.0,,2.0,,1.4,,,,4,2.0,Angelo De Alban
Mimi Doringo,Makabayan,0.6,,,2.0,,1.1,,0.8,,,,2,2.0,Mimi Doringo
Mody Floranda,Makabayan,1.5,,,2.0,,1.1,,0.3,,,,2,2.0,Mody Floranda
Norman Marquez,Independent,2.3,,1.1,2.0,,2.0,,0.8,,,,5,2.0,Norman Marquez
Michael Tapado,Maharlika,1.0,,,2.0,,0.9,,0.6,,,,1,2.0,Michael Tapado
Wilson Amad,Independent,2.7,,,2.0,,1.1,,1.3,,,,1,1.0,Wilson Amad
Jocelyn Andamo,Makabayan,1.0,,,2.0,,1.0,,0.5,,,,2,1.0,Jocelyn Andamo
Roy Cabonegro,DPP,0.8,,,1.0,,1.2,,0.2,,,,1,1.0,Roy Cabonegro
David D'Angelo,Bunyog,1.3,,,1.0,,1.3,,0.6,,,,2,1.0,David D'Angelo
Relly Jose Jr.,KBL,1.9,,,1.0,,1.0,,0.5,,,,2,1.0,Relly Jose Jr.
Amirah Lidasan,Makabayan,1.3,12.0,,1.0,,1.7,,0.8,,12.0,,2,1.0,Amirah Lidasan
Liza Maza,Makabayan,0.9,,,2.0,,1.7,,0.9,,,,6,1.0,Liza Maza
Jose Montemayor Jr.,Independent,2.4,,,2.0,,1.8,,0.3,,,,3,1.0,Jose Montemayor Jr.
Subair Mustapha,WPP,0.4,,,1.0,,1.7,,1.4,,,,1,1.0,Subair Mustapha
Jose Jessie Olivar,Independent,0.5,,,1.0,,1.1,,0.2,,,,2,1.0,Jose Jessie Olivar
Mar Valbuena Jr.,Independent,1.3,,,1.0,,1.5,,1.3,,,,2,1.0,Mar Valbuena Jr.
Leandro Verceles Jr.,Independent,0.4,,,0.4,,0.8,,0.9,,,,2,0.3,Leandro Verceles Jr.
